,0,1,2,3,4,5,6
0,SZSE.000002,9,18,2014-01-01,2014-12-31,1.208,-0.052
1,SZSE.000002,13,26,2014-01-01,2014-12-31,1.3,-0.07
2,SZSE.000002,14,28,2014-01-01,2014-12-31,1.265,-0.085
3,SZSE.000333,9,18,2014-01-01,2014-12-31,1.224,-0.14
4,SZSE.000333,13,26,2014-01-01,2014-12-31,1.226,-0.086
5,SZSE.000333,14,28,2014-01-01,2014-12-31,1.208,-0.08
6,SZSE.002456,9,18,2014-01-01,2014-12-31,1.026,-0.117
7,SZSE.002456,13,26,2014-01-01,2014-12-31,0.903,-0.147
8,SZSE.002456,14,28,2014-01-01,2014-12-31,0.889,-0.16
9,SHSE.601318,9,18,2014-01-01,2014-12-31,1.224,-0.052
10,SHSE.601318,13,26,2014-01-01,2014-12-31,1.163,-0.052
11,SHSE.601318,14,28,2014-01-01,2014-12-31,1.205,-0.06
12,SHSE.600508,9,18,2014-01-01,2014-12-31,1.224,-0.077
13,SHSE.600508,13,26,2014-01-01,2014-12-31,1.132,-0.084
14,SHSE.600508,14,28,2014-01-01,2014-12-31,1.096,-0.104
15,SHSE.600660,9,18,2014-01-01,2014-12-31,1.085,-0.06
16,SHSE.600660,13,26,2014-01-01,2014-12-31,1.176,-0.061
17,SHSE.600660,14,28,2014-01-01,2014-12-31,1.147,-0.065
18,SHSE.603288,9,18,2014-01-01,2014-12-31,1.146,-0.062
19,SHSE.603288,13,26,2014-01-01,2014-12-31,1.085,-0.065
20,SHSE.603288,14,28,2014-01-01,2014-12-31,1.079,-0.068
21,SZSE.000002,9,18,2014-12-31,2015-12-30,1.125,-0.219
22,SZSE.000002,13,26,2014-12-31,2015-12-30,1.189,-0.234
23,SZSE.000002,14,28,2014-12-31,2015-12-30,0.979,-0.265
24,SZSE.000333,9,18,2014-12-31,2015-12-30,1.043,-0.277
25,SZSE.000333,13,26,2014-12-31,2015-12-30,0.903,-0.339
26,SZSE.000333,14,28,2014-12-31,2015-12-30,1.018,-0.249
27,SZSE.002456,9,18,2014-12-31,2015-12-30,1.647,-0.103
28,SZSE.002456,13,26,2014-12-31,2015-12-30,1.42,-0.187
29,SZSE.002456,14,28,2014-12-31,2015-12-30,1.414,-0.162
30,SHSE.601318,9,18,2014-12-31,2015-12-30,0.962,-0.277
31,SHSE.601318,13,26,2014-12-31,2015-12-30,0.729,-0.461
32,SHSE.601318,14,28,2014-12-31,2015-12-30,0.683,-0.472
33,SHSE.600508,9,18,2014-12-31,2015-12-30,1.82,-0.089
34,SHSE.600508,13,26,2014-12-31,2015-12-30,1.832,-0.066
35,SHSE.600508,14,28,2014-12-31,2015-12-30,1.769,-0.08
