,N,S,return,mdd
0,5,0.0,0.7444412607361022,-0.695
1,5,0.1,0.7518050214764151,-0.691
2,5,0.2,0.7338386510705989,-0.698
3,5,0.30000000000000004,0.731701330536343,-0.683
4,5,0.4,0.8123221979905858,-0.638
5,5,0.5,0.8065486773465321,-0.633
6,5,0.6000000000000001,0.7243241834683913,-0.668
7,5,0.7000000000000001,0.7739300247644474,-0.634
8,5,0.8,0.6197332400487665,-0.675
9,5,0.9,0.5624888130524008,-0.69
10,6,0.0,1.731870482535491,-0.287
11,6,0.1,1.7363686604702924,-0.287
12,6,0.2,1.7656388271204537,-0.287
13,6,0.30000000000000004,1.715708591978212,-0.287
14,6,0.4,1.7191853286609768,-0.287
15,6,0.5,1.6416856333907213,-0.287
16,6,0.6000000000000001,1.7354312470690405,-0.266
17,6,0.7000000000000001,1.7242814810431133,-0.276
18,6,0.8,1.436066367972485,-0.26
19,6,0.9,1.4488330071507234,-0.284
20,7,0.0,0.8545808828940634,-0.357
21,7,0.1,0.8581399365861325,-0.357
22,7,0.2,0.9405520799302505,-0.338
23,7,0.30000000000000004,0.8994648528578035,-0.338
24,7,0.4,0.9960766755011113,-0.291
25,7,0.5,0.9919224277108537,-0.306
26,7,0.6000000000000001,0.9055356509474151,-0.306
27,7,0.7000000000000001,0.7991410155351166,-0.31
28,7,0.8,0.8810030581156376,-0.309
29,7,0.9,0.9267130626909729,-0.237
30,8,0.0,1.2420726934784496,-0.359
31,8,0.1,1.2930406201650488,-0.359
32,8,0.2,1.2684098330190103,-0.359
33,8,0.30000000000000004,1.201878901660233,-0.336
34,8,0.4,1.2981636543684694,-0.345
35,8,0.5,1.2335421517092602,-0.34
36,8,0.6000000000000001,1.3606305424963379,-0.303
37,8,0.7000000000000001,1.4794650071045552,-0.228
38,8,0.8,1.3720400601395988,-0.227
39,8,0.9,1.2483114882137518,-0.226
40,9,0.0,1.2628511962954847,-0.346
41,9,0.1,1.2350391866846635,-0.346
42,9,0.2,1.1932898124590932,-0.346
43,9,0.30000000000000004,1.235755135947945,-0.346
44,9,0.4,1.2121983084399033,-0.343
45,9,0.5,1.0766188225688336,-0.398
46,9,0.6000000000000001,1.0171441022447898,-0.359
47,9,0.7000000000000001,1.064694314873362,-0.345
48,9,0.8,1.1140149015799128,-0.282
49,9,0.9,1.2183061080980808,-0.317
50,10,0.0,1.6359750263493504,-0.351
51,10,0.1,1.5121731530341618,-0.351
52,10,0.2,1.4690106242628007,-0.351
53,10,0.30000000000000004,1.4591325711418248,-0.334
54,10,0.4,1.4754991181468282,-0.303
55,10,0.5,1.4601157628957475,-0.308
56,10,0.6000000000000001,1.592395976507182,-0.321
57,10,0.7000000000000001,1.5898824080511686,-0.325
58,10,0.8,1.3956045621117974,-0.319
59,10,0.9,1.3191403048490822,-0.315
60,11,0.0,1.003122824329426,-0.517
61,11,0.1,0.998287315510717,-0.517
62,11,0.2,0.8719004735304147,-0.518
63,11,0.30000000000000004,0.9116396631688972,-0.486
64,11,0.4,0.9282135248058724,-0.482
65,11,0.5,0.8265398390598451,-0.522
66,11,0.6000000000000001,0.8723037743910055,-0.496
67,11,0.7000000000000001,0.8533669188973781,-0.504
68,11,0.8,0.949869852771471,-0.454
69,11,0.9,1.0243587450575222,-0.427
70,12,0.0,1.3624100214993964,-0.407
71,12,0.1,1.3623615082879619,-0.403
72,12,0.2,1.192918831799085,-0.412
73,12,0.30000000000000004,1.1474738402624658,-0.43
74,12,0.4,1.1977148364233965,-0.413
75,12,0.5,1.127926197188411,-0.419
76,12,0.6000000000000001,1.4678802464961904,-0.348
77,12,0.7000000000000001,1.2321542803246526,-0.388
78,12,0.8,1.3139380932479838,-0.355
79,12,0.9,1.304786119413928,-0.35
80,13,0.0,1.510726149476515,-0.352
81,13,0.1,1.503347005752229,-0.352
82,13,0.2,1.4122103614694297,-0.357
83,13,0.30000000000000004,1.3625162158497994,-0.378
84,13,0.4,1.3382622047456465,-0.38
85,13,0.5,1.2321772502805106,-0.416
86,13,0.6000000000000001,1.2869828674511548,-0.369
87,13,0.7000000000000001,1.3256999037470782,-0.37
88,13,0.8,1.010304248943077,-0.439
89,13,0.9,1.1638516046189171,-0.383
90,14,0.0,1.4125393451571415,-0.449
91,14,0.1,1.25134120647444,-0.487
92,14,0.2,1.25476920120236,-0.487
93,14,0.30000000000000004,1.2841241957596319,-0.491
94,14,0.4,1.342092331049398,-0.465
95,14,0.5,1.3972857792444857,-0.421
96,14,0.6000000000000001,1.2991150763563717,-0.451
97,14,0.7000000000000001,1.2583440217431403,-0.463
98,14,0.8,1.317837379862558,-0.451
99,14,0.9,1.5301095649043355,-0.378
100,15,0.0,0.9726623503076369,-0.575
101,15,0.1,1.024428446893877,-0.548
102,15,0.2,1.116310560640262,-0.532
103,15,0.30000000000000004,1.215966491306746,-0.487
104,15,0.4,1.3153153667993214,-0.465
105,15,0.5,1.2155965888911173,-0.483
106,15,0.6000000000000001,1.295010839292007,-0.483
107,15,0.7000000000000001,1.2147236225361757,-0.479
108,15,0.8,1.1235393851730582,-0.506
109,15,0.9,1.1287373554109636,-0.488
110,16,0.0,1.738003946252702,-0.35
111,16,0.1,1.7442794058943876,-0.35
112,16,0.2,1.9205988586033418,-0.296
113,16,0.30000000000000004,1.8487492963753769,-0.308
114,16,0.4,1.822792601257085,-0.325
115,16,0.5,1.9243592060906263,-0.315
116,16,0.6000000000000001,1.788894754361946,-0.306
117,16,0.7000000000000001,1.7009178699216352,-0.315
118,16,0.8,2.1276486972017383,-0.241
119,16,0.9,2.205022336009413,-0.256
120,17,0.0,1.7136862295776083,-0.276
121,17,0.1,1.6445875521802056,-0.276
122,17,0.2,1.7077901195004057,-0.247
123,17,0.30000000000000004,1.691553720575811,-0.259
124,17,0.4,1.5584909526039616,-0.327
125,17,0.5,1.4676385834359293,-0.341
126,17,0.6000000000000001,1.5472712191538176,-0.357
127,17,0.7000000000000001,1.6012218736441721,-0.327
128,17,0.8,1.4555154544529478,-0.353
129,17,0.9,1.6611496136815997,-0.301
130,18,0.0,1.3414000391172636,-0.389
131,18,0.1,1.2403436237355816,-0.413
132,18,0.2,1.1506308050273173,-0.446
133,18,0.30000000000000004,1.1412261426552721,-0.425
134,18,0.4,1.1690679155307517,-0.407
135,18,0.5,1.2155245173077909,-0.369
136,18,0.6000000000000001,1.2707001733039123,-0.333
137,18,0.7000000000000001,1.1949637415417524,-0.349
138,18,0.8,1.2727917340587833,-0.347
139,18,0.9,1.497038406313021,-0.275
140,19,0.0,1.159769718686175,-0.492
141,19,0.1,1.1161688453326073,-0.475
142,19,0.2,1.104603180666451,-0.469
143,19,0.30000000000000004,1.1116219125051938,-0.438
144,19,0.4,1.1514821711520198,-0.418
145,19,0.5,1.0477268427438495,-0.406
146,19,0.6000000000000001,1.215502630012257,-0.331
147,19,0.7000000000000001,1.2204057636278656,-0.348
148,19,0.8,1.1577063853734286,-0.398
149,19,0.9,1.5604465516895412,-0.234
150,20,0.0,0.9245665802462261,-0.525
151,20,0.1,0.9602219384702871,-0.497
152,20,0.2,0.8714207485496362,-0.529
153,20,0.30000000000000004,0.9006977097959982,-0.514
154,20,0.4,1.0424995042370686,-0.447
155,20,0.5,0.953791069928604,-0.483
156,20,0.6000000000000001,1.0250003602354913,-0.434
157,20,0.7000000000000001,0.8367534415912077,-0.461
158,20,0.8,0.8586463582690936,-0.463
159,20,0.9,1.107174455969504,-0.345
160,21,0.0,0.6034535375101443,-0.616
161,21,0.1,0.6307160437372396,-0.618
162,21,0.2,0.6461388291930105,-0.606
163,21,0.30000000000000004,0.5841262929623967,-0.634
164,21,0.4,0.6324159555847799,-0.613
165,21,0.5,0.6400834497557569,-0.623
166,21,0.6000000000000001,0.8075239805303872,-0.534
167,21,0.7000000000000001,0.8730300481813352,-0.468
168,21,0.8,0.7289695043070769,-0.482
169,21,0.9,0.7671764315352785,-0.467
170,22,0.0,0.8681597828118438,-0.578
171,22,0.1,0.9364725596876949,-0.545
172,22,0.2,0.924520250807577,-0.545
173,22,0.30000000000000004,0.9765812366046989,-0.546
174,22,0.4,1.0226630573803366,-0.524
175,22,0.5,1.0725111916401988,-0.5
176,22,0.6000000000000001,0.9222345658885303,-0.504
177,22,0.7000000000000001,0.9949636945244025,-0.446
178,22,0.8,0.862862547379862,-0.463
179,22,0.9,0.9142666507411749,-0.419
180,23,0.0,0.7217122479031478,-0.547
181,23,0.1,0.7366432791280153,-0.536
182,23,0.2,0.7678019421542952,-0.533
183,23,0.30000000000000004,0.7831396144840466,-0.531
184,23,0.4,0.7958083681305622,-0.538
185,23,0.5,0.8869079578901294,-0.522
186,23,0.6000000000000001,0.7499023804604906,-0.553
187,23,0.7000000000000001,0.7368535229386222,-0.544
188,23,0.8,0.6921746451944865,-0.535
189,23,0.9,0.6397151653719155,-0.533
190,24,0.0,0.8650902356992478,-0.558
191,24,0.1,0.8740392872345567,-0.549
192,24,0.2,0.8560536010759516,-0.549
193,24,0.30000000000000004,0.872962291675234,-0.55
194,24,0.4,0.8480739751808686,-0.563
195,24,0.5,0.7579029173457911,-0.608
196,24,0.6000000000000001,0.8572286143274118,-0.55
197,24,0.7000000000000001,0.7554397548088133,-0.578
198,24,0.8,0.7920816439542873,-0.543
199,24,0.9,0.9090325330519687,-0.473
200,25,0.0,0.8976909458218048,-0.536
201,25,0.1,0.9061720853922179,-0.536
202,25,0.2,0.8852375295318504,-0.552
203,25,0.30000000000000004,0.9085290540096952,-0.541
204,25,0.4,0.9197089394599045,-0.533
205,25,0.5,0.8439158692003536,-0.565
206,25,0.6000000000000001,0.883328867950428,-0.514
207,25,0.7000000000000001,0.7802035875142733,-0.541
208,25,0.8,0.7697157130157207,-0.518
209,25,0.9,0.8215287921578805,-0.516
210,26,0.0,1.140636553169941,-0.393
211,26,0.1,1.1292077922780568,-0.401
212,26,0.2,1.093977783445172,-0.404
213,26,0.30000000000000004,1.094464473130912,-0.418
214,26,0.4,1.0871252730349508,-0.415
215,26,0.5,0.9865425271649556,-0.445
216,26,0.6000000000000001,0.9859434780168088,-0.433
217,26,0.7000000000000001,0.9499453227531315,-0.432
218,26,0.8,1.0060019612126891,-0.406
219,26,0.9,1.1079683970454128,-0.361
220,27,0.0,1.066500033974834,-0.368
221,27,0.1,0.9878244774825362,-0.415
222,27,0.2,1.0138681072216889,-0.386
223,27,0.30000000000000004,1.051621287279784,-0.377
224,27,0.4,0.9549432077645676,-0.408
225,27,0.5,0.9342941270902722,-0.422
226,27,0.6000000000000001,1.024340280922886,-0.362
227,27,0.7000000000000001,1.0490732203609947,-0.328
228,27,0.8,1.0929535863618551,-0.306
229,27,0.9,1.0733709930088475,-0.315
230,28,0.0,1.4897389895145676,-0.365
231,28,0.1,1.506838667646243,-0.364
232,28,0.2,1.5352977752910602,-0.352
233,28,0.30000000000000004,1.5689115780885579,-0.334
234,28,0.4,1.3569331153163062,-0.401
235,28,0.5,1.3907571381469555,-0.387
236,28,0.6000000000000001,1.5455188597354954,-0.319
237,28,0.7000000000000001,1.581145594059402,-0.314
238,28,0.8,1.540758050268805,-0.326
239,28,0.9,1.258626243664992,-0.358
240,29,0.0,1.169378705719223,-0.465
241,29,0.1,1.2967099534046858,-0.407
242,29,0.2,1.3087152518566936,-0.424
243,29,0.30000000000000004,1.2861112325450479,-0.434
244,29,0.4,1.3683448741146333,-0.392
245,29,0.5,1.447637699892493,-0.351
