,0,1,2,3,4
0,SZSE.000002,2015-01-01,2016-01-01,1.445,-0.102
1,SZSE.000333,2015-01-01,2016-01-01,1.166,-0.194
2,SZSE.002456,2015-01-01,2016-01-01,1.759,-0.103
3,SHSE.601318,2015-01-01,2016-01-01,0.989,-0.28
4,SHSE.600660,2015-01-01,2016-01-01,1.22,-0.203
5,SHSE.603288,2015-01-01,2016-01-01,1.192,-0.208
6,SZSE.000002,2015-12-31,2016-12-30,1.464,-0.065
7,SZSE.000333,2015-12-31,2016-12-30,1.091,-0.098
8,SZSE.002456,2015-12-31,2016-12-30,1.102,-0.155
9,SHSE.601318,2015-12-31,2016-12-30,0.885,-0.157
10,SHSE.600660,2015-12-31,2016-12-30,1.058,-0.105
11,SHSE.603288,2015-12-31,2016-12-30,0.879,-0.19
12,SZSE.000002,2016-12-29,2017-12-29,1.342,-0.113
13,SZSE.000333,2016-12-29,2017-12-29,0.943,-0.217
14,SZSE.002456,2016-12-29,2017-12-29,1.203,-0.102
15,SHSE.601318,2016-12-29,2017-12-29,1.086,-0.073
16,SHSE.600660,2016-12-29,2017-12-29,1.17,-0.089
17,SHSE.603288,2016-12-29,2017-12-29,1.076,-0.179
18,SZSE.000002,2017-12-28,2018-12-28,0.918,-0.168
19,SZSE.000333,2017-12-28,2018-12-28,0.999,-0.187
20,SZSE.002456,2017-12-28,2018-12-28,0.964,-0.247
21,SHSE.601318,2017-12-28,2018-12-28,0.881,-0.15
22,SHSE.600660,2017-12-28,2018-12-28,1.186,-0.124
23,SHSE.603288,2017-12-28,2018-12-28,1.207,-0.164
